,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,EFF_PER_GAME
28,203897,28,Zach LaVine,1610612758,SAC,71,2491,600,1169,0.513,227,510,0.445,228,277,0.823,22,289,311,292,58,12,201,116,1655,1509,1.45,0.29,21.253521126760564
29,1628991,30,Jaren Jackson Jr.,1610612763,MEM,71,2106,573,1168,0.491,139,369,0.377,301,388,0.776,88,322,410,144,88,111,149,245,1586,1508,0.97,0.59,21.239436619718308
30,203076,31,Anthony Davis,1610612742,DAL,49,1642,455,879,0.518,34,117,0.291,281,362,0.776,129,437,566,165,59,102,107,95,1225,1505,1.54,0.55,30.714285714285715
31,1631114,32,Jalen Williams,1610612760,OKC,67,2166,541,1124,0.481,121,330,0.367,228,290,0.786,55,303,358,345,108,46,147,152,1431,1496,2.35,0.73,22.328358208955223
32,1630581,33,Josh Giddey,1610612741,CHI,69,2076,360,779,0.462,102,272,0.375,172,221,0.778,125,425,550,492,82,42,198,120,994,1494,2.48,0.41,21.652173913043477
33,1630559,34,Austin Reaves,1610612747,LAL,70,2440,458,1000,0.458,192,513,0.374,309,350,0.883,58,255,313,406,78,22,166,142,1417,1487,2.45,0.47,21.242857142857144
34,203497,35,Rudy Gobert,1610612750,MIN,68,2246,312,468,0.667,0,0,0.0,169,250,0.676,252,487,739,120,54,99,87,170,793,1481,1.38,0.62,21.779411764705884
35,203081,36,Damian Lillard,1610612749,MIL,58,2093,444,992,0.448,197,524,0.376,362,393,0.921,29,243,272,410,70,10,162,97,1447,1468,2.53,0.43,25.310344827586206
36,1629636,37,Darius Garland,1610612739,CLE,73,2239,534,1140,0.468,205,514,0.399,217,246,0.882,46,164,210,488,88,11,185,141,1490,1467,2.64,0.48,20.095890410958905
37,1629008,37,Michael Porter Jr.,1610612743,DEN,74,2499,511,1014,0.504,186,473,0.393,143,186,0.769,134,382,516,163,49,36,102,151,1351,1467,1.6,0.48,19.824324324324323
38,1630168,39,Onyeka Okongwu,1610612737,ATL,71,1961,372,653,0.57,43,136,0.316,153,204,0.75,211,412,623,161,65,67,82,182,940,1442,1.96,0.79,20.309859154929576
